school,city,county,applied,admitted,attended,tot_enrolled,grade_12,is_charter,pct_free_reduced,dist_to_ucb_miles
PATTERSON HIGH SCHOOL,Patterson,Stanislaus,33,7,3,1855,425,N,0.60916442,67.36395612777282
PERFORMING ARTS COMMUNITY SCHO,Los Angeles,Los Angeles,21,3,NA,514,98,N,0.961089494,349.69950330539115
PERRIS HIGH SCHOOL,Perris,Riverside,7,3,NA,2106,497,N,0.835707502,398.3591719756646
PETALUMA HIGH SCHOOL,Petaluma,Sonoma,55,3,NA,1253,315,N,0.304070231,32.34262345336563
PHILLIP & SALA BURTON ACAD HS,San Francisco,San Francisco,79,4,NA,1031,236,N,0.575169738,13.154210597828884
PHINEAS BANNING HIGH SCHOOL,Wilmington,Los Angeles,48,4,NA,2437,538,N,0.860073861,359.8850351267395
PIEDMONT HIGH SCHOOL,Piedmont,Alameda,116,17,10,730,190,N,0.034246575,3.6661627302804622
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,150,15,8,1945,454,N,0.223136247,39.406049502255
PIERCE HIGH SCHOOL,Arbuckle,Colusa,10,NA,NA,503,137,N,0.644135189,79.32713934828773
PINER HIGH SCHOOL,Santa Rosa,Sonoma,22,NA,NA,1384,324,N,0.502890173,49.173580481939545
PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa,59,6,4,1292,294,N,0.441950464,8.258421272867153
PIONEER HIGH SCHOOL,San Jose,Santa Clara,99,17,13,1469,362,N,0.238257318,47.834125824866256
PIONEER HIGH SCHOOL,Whittier,Los Angeles,33,5,NA,1072,276,N,0.760261194,356.79682656974325
PIONEER HIGH SCHOOL,Woodland,Yolo,36,6,NA,1635,397,N,0.52293578,61.04467668690084
PIONEER VALLEY HIGH SCHOOL,Santa Maria,Santa Barbara,51,11,4,3112,750,N,0.736182519,226.37677176993495
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,93,13,10,3532,926,N,0.676953567,22.975161311531203
PLACER HIGH SCHOOL,Auburn,Placer,13,NA,NA,1303,337,N,0.298541827,95.64535443719475
PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,99,4,NA,2512,589,N,0.205812102,62.73246841110303
PLEASANT VALLEY SR HIGH SCHOOL,Chico,Butte,21,3,NA,1922,432,N,0.340790843,132.6567566227137
POINT LOMA HIGH SCHOOL,San Diego,San Diego,86,7,3,1682,384,N,0.262782402,454.0013404921962
POMONA HIGH SCHOOL,Pomona,Los Angeles,11,NA,NA,1105,272,N,0.839819005,363.6623122252035
PONDEROSA HIGH SCHOOL,Shingle Springs,El Dorado,26,NA,NA,1689,423,N,0.177027827,90.32453457357563
PORT OF LOS ANGELES HS,San Pedro,Los Angeles,27,NA,NA,928,208,Y,0.529094828,362.1271527101755
PORTERVILLE HIGH SCHOOL,Porterville,Tulare,16,3,NA,2136,488,N,0.612359551,217.704061715284
PORTOLA HIGH SCHOOL,Irvine,Orange,288,30,11,2503,586,N,0.174990012,382.500207269508
PORTOLA JUNIOR SENIOR HIGH SCHOOL,Portola,Plumas,6,NA,NA,279,53,N,0.501792115,164.5494423233338
POWAY HIGH SCHOOL,Poway,San Diego,71,7,3,2161,530,N,0.223970384,447.45088223798126
POWAY TO PALOMAR MIDDLE COLLEGE,San Diego,San Diego,9,NA,NA,81,41,N,0.283950617,443.6212263726461
PREUSS SCHOOL UCSD,La Jolla,San Diego,49,12,5,849,116,Y,0.812720848,446.1594325270274
PROSPECT HIGH SCHOOL,Saratoga,Santa Clara,94,13,10,1492,380,N,0.363270777,42.44508747052308
PUBLIC SAFETY ACADEMY,Fairfield,Solano,7,NA,NA,739,61,N,NA,30.44966443448238
PUBLIC SERVICE COMMUNITY SCHOO,Los Angeles,Los Angeles,15,3,NA,502,105,N,0.966135458,349.69950330539115
PUC CALS MIDDLE AND EARLY COLL,Los Angeles,Los Angeles,7,NA,NA,307,56,Y,0.863192182,344.0296563941002
PUC COMMUNITY CHARTER EARLY COLL HS,Sylmar,Los Angeles,17,3,NA,777,87,Y,0.777348777,329.3011552656592
PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles,5,NA,NA,215,50,Y,0.934883721,326.299817766745
PUC LAKEVIEW CHARTER HIGH SCHL,Sylmar,Los Angeles,23,NA,NA,440,81,Y,0.8,324.6631047432668
PUC TRIUMPH CHARTER ACADEMY HS,Sylmar,Los Angeles,5,NA,NA,802,97,Y,0.894014963,324.6631047432668
QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,82,12,8,3170,818,N,0.387381703,315.2154890529926
QUINCY JUNIOR SENIOR HIGH SCHOOL,Quincy,Plumas,6,NA,NA,317,47,N,0.365930599,161.95501303418052
RAMONA HIGH SCHOOL,Ramona,San Diego,14,NA,NA,1482,363,N,0.416329285,451.7195195178144
RAMONA HIGH SCHOOL,Riverside,Riverside,47,5,NA,2190,542,N,0.48812785400000003,383.80677221389766
RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange,28,4,3,1520,409,N,0.767763158,369.56793184936777
RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego,104,8,6,2278,596,N,0.143546971,445.9468143061264
RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego,43,4,NA,1962,402,N,0.495922528,430.274023076788
RANCHO CAMPANA HIGH SCHOOL,Camarillo,Ventura,48,9,4,845,197,N,0.236686391,309.06593822885327
RANCHO COTATE HIGH SCHOOL,Rohnert Park,Sonoma,29,NA,NA,1674,365,N,0.357825568,39.80233923966544
RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino,94,14,5,3343,869,N,0.333532755,368.7596434091505
RANCHO DOMINGUEZ PREP SCHOOL,Long Beach,Los Angeles,12,NA,NA,707,134,N,0.83592645,359.2805726880051
RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside,22,3,NA,1464,355,N,0.946038251,429.7245016155889
RANCHO SAN JUAN HIGH SCHOOL,Salinas,Monterey,66,20,8,1658,408,N,0.71893848,86.29934374185122
RANCHO VERDE HIGH SCHOOL,Moreno Valley,Riverside,41,NA,NA,2052,480,N,0.621345029,395.8825293737716
RAOUL WALLENBERG TRADITIONAL,San Francisco,San Francisco,49,8,4,551,143,N,0.431941924,11.997069442459612
RED BLUFF HIGH SCHOOL,Red Bluff,Tehama,16,3,3,1584,366,N,0.671085859,159.30372667784908
