school,city,county,applied,admitted,attended
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,39,6,
CARLMONT HIGH SCHOOL,Belmont,San Mateo,288,45,32
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,79,8,3
CARMEL HIGH SCHOOL,Carmel,Monterey,47,9,7
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,16,,
CARSON HIGH SCHOOL,Carson,Los Angeles,48,9,5
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,9,,
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,45,4,
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,22,,
CASTAIC HIGH SCHOOL,Castaic,Los Angeles,22,4,
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,26,8,4
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,19,,
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,225,16,11
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,10,9,
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,38,7,3
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,12,,
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,31,,
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,23,3,
CENTENNIAL HIGH SCHOOL,Corona,Riverside,77,19,7
CENTER HIGH SCHOOL,Antelope,Sacramento,30,,
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,10,,
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,12,,
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,15,3,
CENTRAL HIGH SCHOOL,Fresno,Fresno,7,,
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,30,5,
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,46,5,5
CENTURY HIGH SCHOOL,Santa Ana,Orange,18,,
CERES HIGH SCHOOL,Ceres,Stanislaus,35,7,3
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,142,17,7
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,29,,
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,13,6,
CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,5,,
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,31,8,5
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,45,7,
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,69,,
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,10,,
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,18,3,
CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth,Los Angeles,53,13,7
CHAVEZ LA ACADEMY OF SCIENCE,San Fernando,Los Angeles,9,,
CHAVEZ LA ARTES,San Fernando,Los Angeles,12,,
CHAVEZ LEARNING ACAD-TECH PREP ACAD,San Fernando,Los Angeles,13,,
CHICO HIGH SCHOOL,Chico,Butte,43,4,4
CHINO HIGH SCHOOL,Chino,San Bernardino,28,4,
