school,city,county,applied,admitted,attended
TORRES HS-HUMANITAS ACAD ART &TECH,Los Angeles,Los Angeles,8,,
TORREY PINES HIGH SCHOOL,San Diego,San Diego,228,29,16
TRABUCO HILLS HIGH SCHOOL,Mission Viejo,Orange,74,11,6
TRACY HIGH SCHOOL,Tracy,San Joaquin,35,3,3
TRANQUILLITY HIGH SCHOOL,Tranquillity,Fresno,14,,
TROY HIGH SCHOOL,Fullerton,Orange,299,52,27
TRUCKEE HIGH SCHOOL,Truckee,Placer,32,3,
TULARE UNION HIGH SCHOOL,Tulare,Tulare,13,3,
TULARE WESTERN HIGH SCHOOL,Tulare,Tulare,27,,
TURLOCK HIGH SCHOOL,Turlock,Stanislaus,33,7,5
TUSTIN CONNECT,Tustin,Orange,7,,
TUSTIN HIGH SCHOOL,Tustin,Orange,34,,
TWELVE BRIDGES HIGH SCHOOL,Lincoln,Placer,17,,
TWENTYNINE PALMS HIGH SCHOOL,Twentynine Palms,San Bernardino,5,,
UCLA COMMUNITY SCHOOL,Los Angeles,Los Angeles,26,6,4
UKIAH HIGH SCHOOL,Ukiah,Mendocino,35,8,3
ULYSSES S GRANT HIGH SCHOOL,Van Nuys,Los Angeles,55,9,6
UMOJA INTERNATIONAL ACADEMY,Sacramento,Sacramento,10,,
UNION MINE HIGH SCHOOL,El Dorado,El Dorado,12,,
UNIVERSITY CITY HIGH SCHOOL,San Diego,San Diego,106,5,3
UNIVERSITY HIGH SCHOOL,Fresno,Fresno,48,14,5
UNIVERSITY HIGH SCHOOL,Irvine,Orange,284,34,13
UNIVERSITY HIGH SCHOOL,Los Angeles,Los Angeles,70,9,
UNIVERSITY PREP ACADEMY,San Jose,Santa Clara,53,7,4
UNIVERSITY PREP VALUE HS,Los Angeles,Los Angeles,23,4,
UNIVERSITY PREPARATORY,Victorville,San Bernardino,37,6,4
UNIVERSITY PREPARATORY SCHOOL,Redding,Shasta,17,3,
UNIVERSITY PREPARTORY HIGH SCH,Visalia,Tulare,14,,
UPLAND HIGH SCHOOL,Upland,San Bernardino,71,8,
UPPER LAKE HIGH SCHOOL,Upper Lake,Lake,14,,
USC HYBRID HIGH COLLEGE PREP,Los Angeles,Los Angeles,28,6,3
USC MEDIA & ENGINEERING MAGNET SCH,Los Angeles,Los Angeles,7,,
VACAVILLE HIGH SCHOOL,Vacaville,Solano,44,9,4
VALENCIA HIGH SCHOOL,Placentia,Orange,124,12,4
VALENCIA HIGH SCHOOL,Valencia,Los Angeles,111,17,10
VALHALLA HIGH SCHOOL,El Cajon,San Diego,44,4,
VALLEJO HIGH SCHOOL,Vallejo,Solano,11,,
VALLEY ACADEMY ARTS & SCIENCES,Granada Hills,Los Angeles,17,5,
VALLEY CENTER HIGH SCHOOL,Valley Center,San Diego,17,,
VALLEY HIGH SCHOOL,Sacramento,Sacramento,48,5,
VALLEY HIGH SCHOOL,Santa Ana,Orange,35,5,3
VALLEY INTERNATIONAL PREP HS,Northridge,Los Angeles,9,,
VALLEY VIEW HIGH SCHOOL,Moreno Valley,Riverside,48,4,
VALOR ACADEMY HIGH SCHOOL,North Hills,Los Angeles,27,,
VAN NUYS HIGH SCHOOL,Van Nuys,Los Angeles,83,20,11
VANDEN HIGH SCHOOL,Fairfield,Solano,47,,
VASQUEZ HIGH SCHOOL,Acton,Los Angeles,5,,
VAUGHN NEXT CENTURY LEARN CTR,San Fernando,Los Angeles,19,3,3
VENICE HIGH SCHOOL,Los Angeles,Los Angeles,129,27,14
VENTURA HIGH SCHOOL,Ventura,Ventura,56,10,5
VENTURE ACADEMY,Stockton,San Joaquin,12,,
VERDUGO HILLS HIGH SCHOOL,Tujunga,Los Angeles,28,5,
VICTOR VALLEY HIGH SCHOOL,Victorville,San Bernardino,28,3,
VILLA PARK HIGH SCHOOL,Villa Park,Orange,54,9,5
VILLAGE ACADEMY HIGH SCHOOL,Pomona,Los Angeles,5,,
VINTAGE HIGH SCHOOL,Napa,Napa,35,7,3
VISIONS IN EDUCATION,Carmichael,Sacramento,30,,
VISTA DEL LAGO HIGH SCHOOL,Folsom,Sacramento,118,12,9
VISTA DEL LAGO HIGH SCHOOL,Moreno Valley,Riverside,26,,
VISTA HIGH SCHOOL,Vista,San Diego,29,5,
VISTA MURRIETA HIGH SCHOOL,Murrieta,Riverside,52,7,
WALLIS ANNENBERG HIGH SCHOOL,Los Angeles,Los Angeles,18,3,
WALNUT HIGH SCHOOL,Walnut,Los Angeles,179,20,15
WARREN HIGH SCHOOL,Downey,Los Angeles,76,10,4
WASCO UNION HIGH SCHOOL,Wasco,Kern,27,3,
WASHINGTON HIGH SCHOOL,Fremont,Alameda,142,13,12
WASHINGTON MIDDLE COLLEGE HS,West Sacramento,Yolo,5,,
WASHINGTON UNION HIGH SCHOOL,Fresno,Fresno,14,3,
WATERFORD HIGH SCHOOL,Waterford,Stanislaus,13,,
WATSONVILLE HIGH SCHOOL,Watsonville,Santa Cruz,59,6,3
WEBER INSTITUTE OF APPLIED SCIENCES,Stockton,San Joaquin,18,,
WEED HIGH SCHOOL,Weed,Siskiyou,6,3,
WEST ADAMS PREPARATORY HS,Los Angeles,Los Angeles,31,,
WEST CAMPUS HIGH SCHOOL,Sacramento,Sacramento,88,16,7
WEST COVINA HIGH SCHOOL,West Covina,Los Angeles,52,,
WEST HIGH SCHOOL,Bakersfield,Kern,22,4,
WEST HIGH SCHOOL,Torrance,Los Angeles,111,15,11
WEST HILLS HIGH SCHOOL,Santee,San Diego,25,4,
WEST PARK HIGH SCHOOL,Roseville,Placer,54,5,3
WEST RANCH HIGH SCHOOL,Valencia,Los Angeles,142,22,14
WEST SHORES HIGH SCHOOL,Thermal,Riverside,5,,
WEST VALLEY HIGH SCHOOL,Hemet,Riverside,20,,
WESTCHESTER ENRICHED SCIENCE MAGNET,Los Angeles,Los Angeles,24,6,
WESTERN CENTER ACADEMY,Hemet,Riverside,22,,
WESTERN HIGH SCHOOL,Anaheim,Orange,18,3,
WESTERN SIERRA COLLEGIATE ACAD,Rocklin,Placer,45,6,3
WESTLAKE CHARTER HIGH SCHOOL,Sacramento,Sacramento,29,4,
WESTLAKE HIGH SCHOOL,Westlake Village,Ventura,148,28,13
WESTMINSTER HIGH SCHOOL,Westminster,Orange,72,14,6
WESTMONT HIGH SCHOOL,Campbell,Santa Clara,107,4,
WESTMOOR HIGH SCHOOL,Daly City,San Mateo,69,6,5
WESTON RANCH HIGH SCHOOL,Stockton,San Joaquin,31,5,
WESTVIEW HIGH SCHOOL,San Diego,San Diego,201,27,17
WHEATLAND HIGH SCHOOL,Wheatland,Yuba,14,3,
WHITNEY HIGH SCHOOL,Rocklin,Placer,71,11,7
WHITTIER HIGH SCHOOL,Whittier,Los Angeles,42,,
WILL C WOOD HIGH SCHOOL,Vacaville,Solano,29,,
WILLIAM C OVERFELT HIGH SCHOOL,San Jose,Santa Clara,39,6,5
WILLIAM HOWARD TAFT HS,Woodland Hills,Los Angeles,130,15,6
WILLIAM J PETE KNIGHT HIGH SCH,Palmdale,Los Angeles,41,5,
WILLIAM S HART HIGH SCHOOL,Newhall,Los Angeles,60,6,5
WILLIAM WORKMAN HIGH SCHOOL,City Of Industry,Los Angeles,15,,
WILLIAMS HIGH SCHOOL,Williams,Colusa,13,,
WILLOW GLEN HIGH SCHOOL,San Jose,Santa Clara,72,12,6
WILMER AMINA CARTER HS,Rialto,San Bernardino,41,9,
WINDSOR HIGH SCHOOL,Windsor,Sonoma,50,7,4
WINTERS HIGH SCHOOL,Winters,Yolo,7,,
WISH ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,10,3,
WONDERFUL COLL PREP ACAD LOST HILLS,Lost Hills,Kern,5,,
WONDERFUL COLLEGE PREP ACAD DELANO,Delano,Kern,23,4,3
WOODBRIDGE HIGH SCHOOL,Irvine,Orange,173,26,13
WOODCREEK HIGH SCHOOL,Roseville,Placer,50,3,
WOODLAKE HIGH SCHOOL,Woodlake,Tulare,8,,
WOODLAND HIGH SCHOOL,Woodland,Yolo,30,5,
WOODROW WILSON HIGH SCHOOL,Long Beach,Los Angeles,114,16,8
WOODROW WILSON HIGH SCHOOL,Los Angeles,Los Angeles,45,7,5
WOODSIDE HIGH SCHOOL,Woodside,San Mateo,94,16,8
YERBA BUENA HIGH SCHOOL,San Jose,Santa Clara,91,17,13
YGNACIO VALLEY HIGH SCHOOL,Concord,Contra Costa,34,4,
YORBA LINDA HIGH SCHOOL,Yorba Linda,Orange,86,8,3
YOSEMITE HIGH SCHOOL,Oakhurst,Madera,7,,
YREKA HIGH SCHOOL,Yreka,Siskiyou,8,,
YUBA CITY HIGH SCHOOL,Yuba City,Sutter,29,4,3
YUCAIPA SENIOR HIGH SCHOOL,Yucaipa,San Bernardino,20,,
