school,city,county,applied,admitted,attended,tot_enrolled,grade_12
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,16,,,1074,284
CABRILLO POINT ACADEMY,El Cajon,San Diego,7,,,4884,126
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,52,4,3,2662,643
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,121,32,18,1721,454
CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,7,,,749,154
CALEXICO HIGH SCHOOL,Calexico,Imperial,34,5,3,2718,657
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,115,24,11,667,163
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,5,,,637,159
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,291,36,24,2869,715
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,55,11,4,2376,619
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,16,,,1044,114
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,19,,,,
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,17,,,,
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,9,,,334,70
CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga,Napa,10,,,378,62
CAMINO NUEVO HIGH SCH DALZELL LANCE,Los Angeles,Los Angeles,18,,,496,112
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,155,25,15,1332,342
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,32,3,3,1456,294
CANYON CREST ACADEMY,San Diego,San Diego,346,29,19,2183,534
CANYON HIGH SCHOOL,Anaheim,Orange,121,10,5,2178,537
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,24,4,4,1966,442
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,45,3,3,1236,267
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,33,5,,2240,539
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,106,11,8,1981,527
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,39,6,,1108,323
CARLMONT HIGH SCHOOL,Belmont,San Mateo,288,45,32,2360,587
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,79,8,3,2365,630
CARMEL HIGH SCHOOL,Carmel,Monterey,47,9,7,799,184
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,16,,,609,157
CARSON HIGH SCHOOL,Carson,Los Angeles,48,9,5,1378,313
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,9,,,674,170
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,45,4,,1631,433
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,22,,,1103,261
CASTAIC HIGH SCHOOL,Castaic,Los Angeles,22,4,,1193,348
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,26,8,4,1381,381
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,19,,,698,149
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,225,16,11,2842,666
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,10,9,,123,27
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,38,7,3,1370,351
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,12,,,507,58
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,31,,,2237,580
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,23,3,,968,191
CENTENNIAL HIGH SCHOOL,Corona,Riverside,77,19,7,2816,715
CENTER HIGH SCHOOL,Antelope,Sacramento,30,,,1367,359
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,10,,,470,104
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,12,,,286,53
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,15,3,,1754,426
CENTRAL HIGH SCHOOL,Fresno,Fresno,7,,,641,195
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,30,5,,1955,453
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,46,5,5,2336,572
CENTURY HIGH SCHOOL,Santa Ana,Orange,18,,,1615,506
CERES HIGH SCHOOL,Ceres,Stanislaus,35,7,3,1713,398
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,142,17,7,2083,562
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,29,,,2018,469
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,13,6,,1351,325
CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,5,,,112,36
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,31,8,5,3223,853
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,45,7,,2444,608
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,69,,,3077,734
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,10,,,443,117
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,18,3,,1299,291
CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth,Los Angeles,53,13,7,1724,338
CHAVEZ LA ACADEMY OF SCIENCE,San Fernando,Los Angeles,9,,,363,77
CHAVEZ LA ARTES,San Fernando,Los Angeles,12,,,,
CHAVEZ LEARNING ACAD-TECH PREP ACAD,San Fernando,Los Angeles,13,,,346,66
CHICO HIGH SCHOOL,Chico,Butte,43,4,4,1873,504
CHINO HIGH SCHOOL,Chino,San Bernardino,28,4,,2009,502
CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,128,18,11,2767,637
CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,18,4,,1067,250
CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,36,3,3,1667,432
CHULA VISTA HIGH SCHOOL,Chula Vista,San Diego,41,8,,1980,540
CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,32,7,4,1458,93
CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,8,,,402,82
CITRUS HILL HIGH SCHOOL,Perris,Riverside,23,,,1677,422
CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,29,3,,2206,538
CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,26,,,407,105
CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,18,,,346,70
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,5,,,1180,432
CLAIREMONT HIGH SCHOOL,San Diego,San Diego,22,3,,813,218
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,115,17,10,2182,574
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,86,8,,1139,278
CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,24,,,1298,304
CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,127,11,7,2390,574
CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,6,,,336,82
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,115,18,11,2784,620
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,8,,,387,85
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,43,3,,2923,685
CLOVIS HIGH SCHOOL,Clovis,Fresno,25,3,,2876,827
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,113,20,6,2400,604
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,51,6,,2162,509
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,43,8,7,2345,578
COALINGA HIGH SCHOOL,Coalinga,Fresno,21,,,1232,257
COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,11,,,1876,138
COBALT INSTITUTE OF MATH & SCIENCE,Victorville,San Bernardino,32,4,,1111,179
COLFAX HIGH SCHOOL,Colfax,Placer,13,4,,628,135
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,35,6,4,780,68
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,103,11,9,1997,490
COLONY HIGH SCHOOL,Ontario,San Bernardino,28,,,2085,513
COLTON HIGH SCHOOL,Colton,San Bernardino,24,,,1768,415
COLUSA HIGH SCHOOL,Colusa,Colusa,10,,,459,97
COMM&TECH SCHOOL RIVERA LRNG COMPLX,Los Angeles,Los Angeles,19,,,,
COMPTON EARLY COLLEGE HIGH SCH,Compton,Los Angeles,39,6,6,560,128
COMPTON HIGH SCHOOL,Compton,Los Angeles,31,,,1297,275
CONCORD HIGH SCHOOL,Concord,Contra Costa,23,5,4,1118,278
CONNECTING WATERS - EAST BAY,Waterford,Stanislaus,18,,,768,69
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,5,,,768,69
CORCORAN HIGH SCHOOL,Corcoran,Kings,20,6,,922,179
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,29,4,,1900,439
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,117,17,10,2042,366
CORONA HIGH SCHOOL,Corona,Riverside,28,5,,2244,482
CORONADO HIGH SCHOOL,Coronado,San Diego,52,9,3,1004,258
CORTINES SCHOOL VPA,Los Angeles,Los Angeles,57,12,4,1139,280
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,22,4,,1761,287
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,122,13,3,2151,570
COVINA HIGH SCHOOL,Covina,Los Angeles,27,3,,1080,259
CRAWFORD HIGH SCHOOL,San Diego,San Diego,41,12,5,1276,275
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,7,,,705,42
CREDO HIGH SCHOOL ARTS/LETTERS/SCI,Rohnert Park,Sonoma,19,3,,440,89
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,18,,,534,142
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,200,32,8,2532,584
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,24,4,,,
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,129,20,8,2085,528
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,294,36,27,1811,498
CYPRESS HIGH SCHOOL,Cypress,Orange,134,11,7,2705,665
DA VINCI CHARTER ACADEMY,Davis,Yolo,20,,,582,75
DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,31,5,,530,131
DA VINCI CONNECT HIGH SCHOOL,El Segundo,Los Angeles,22,,,865,72
DA VINCI DESIGN HIGH SCHOOL,El Segundo,Los Angeles,13,,,526,133
DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,28,3,,546,142
DANA HILLS HIGH SCHOOL,Dana Point,Orange,63,6,,1805,505
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,11,,,224,50
DAVID STARR JORDAN HS,Los Angeles,Los Angeles,14,,,2207,458
DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,5,3,,145,32
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,225,22,14,1789,605
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,45,8,8,1103,300
DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,24,3,3,1804,476
DEL CAMPO HIGH SCHOOL,Fair Oaks,Sacramento,25,,,1557,365
DEL LAGO ACADEMY,Escondido,San Diego,32,4,,757,171
DEL MAR HIGH SCHOOL,San Jose,Santa Clara,32,3,3,1310,310
DEL NORTE HIGH SCHOOL,San Diego,San Diego,281,33,14,2564,622
DEL ORO HIGH SCHOOL,Bakersfield,Kern,13,,,,
DEL ORO HIGH SCHOOL,Loomis,Placer,29,6,,1622,404
DELANO HIGH SCHOOL,Delano,Kern,23,,,1225,298
DELHI HIGH SCHOOL,Delhi,Merced,15,3,,723,205
DENAIR HIGH SCHOOL,Denair,Stanislaus,6,,,277,61
DESERT HIGH SCHOOL,Edwards,Kern,7,,,458,65
DESERT HOT SPRINGS HS,Desert Hot Springs,Riverside,30,5,3,1718,403
DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,35,7,4,1974,506
DESIGN SCIENCE MIDDLE COLG HS,Fresno,Fresno,33,6,5,242,59
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,72,12,9,537,120
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,299,54,32,2532,632
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,26,,,1567,404
DINUBA HIGH SCHOOL,Dinuba,Tulare,24,,,2115,483
DIXON HIGH SCHOOL,Dixon,Solano,25,,,1012,272
DOMINGUEZ HIGH SCHOOL,Compton,Los Angeles,35,5,,1616,321
DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino,16,3,3,1391,407
DOS PALOS HIGH SCHOOL,Dos Palos,Merced,10,,,628,148
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,155,20,11,2075,478
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,542,44,32,3118,795
DOWNEY HIGH SCHOOL,Downey,Los Angeles,98,8,3,3936,946
DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,33,3,,459,97
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,50,5,,,
DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,29,8,3,697,155
DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,24,6,3,1013,195
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,53,9,3,447,98
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,34,7,4,290,62
DUARTE HIGH SCHOOL,Duarte,Los Angeles,23,,,770,185
DUBLIN HIGH SCHOOL,Dublin,Alameda,435,40,27,3224,876
DUNCAN POLYTECHNICAL HS,Fresno,Fresno,17,3,,1186,253
DURHAM HIGH SCHOOL,Durham,Butte,5,,,308,73
E3 CIVIC HIGH,San Diego,San Diego,10,,,373,79
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,98,21,16,2059,378
EARLY COLLEGE ACAD LA TRADE TECH,Los Angeles,Los Angeles,10,,,225,48
