"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 9,2016,4,730,168,88,3,45,16,43,0,0
HHS Regions,Region 10,2016,4,238,51,1,0,19,3,16,0,0
HHS Regions,Region 1,2016,5,129,50,5,0,5,3,1,0,0
HHS Regions,Region 2,2016,5,147,35,8,1,1,5,2,0,0
HHS Regions,Region 3,2016,5,272,34,3,2,2,5,2,0,0
HHS Regions,Region 4,2016,5,260,50,16,3,21,3,3,0,0
HHS Regions,Region 5,2016,5,482,103,14,3,0,4,3,0,0
HHS Regions,Region 6,2016,5,169,14,14,0,7,3,7,0,0
HHS Regions,Region 7,2016,5,82,39,1,0,0,1,4,0,0
HHS Regions,Region 8,2016,5,239,113,4,0,4,4,37,0,0
HHS Regions,Region 9,2016,5,733,188,102,4,49,29,55,0,0
HHS Regions,Region 10,2016,5,214,46,4,0,9,5,29,0,0
HHS Regions,Region 1,2016,6,160,51,4,0,4,11,4,0,0
HHS Regions,Region 2,2016,6,176,43,13,2,6,8,4,0,0
HHS Regions,Region 3,2016,6,287,62,0,4,5,3,4,0,0
HHS Regions,Region 4,2016,6,323,83,17,2,17,2,3,0,0
HHS Regions,Region 5,2016,6,518,160,15,2,2,2,10,0,0
HHS Regions,Region 6,2016,6,164,29,25,1,18,2,3,0,0
HHS Regions,Region 7,2016,6,81,39,2,0,0,0,3,0,0
HHS Regions,Region 8,2016,6,221,124,6,0,2,4,37,0,0
HHS Regions,Region 9,2016,6,1029,247,152,5,84,35,97,0,0
HHS Regions,Region 10,2016,6,243,53,2,1,23,4,41,0,0
HHS Regions,Region 1,2016,7,168,84,11,0,10,4,1,0,0
HHS Regions,Region 2,2016,7,215,89,5,2,3,12,5,0,0
HHS Regions,Region 3,2016,7,385,159,7,1,5,6,12,0,0
HHS Regions,Region 4,2016,7,364,130,21,1,21,4,3,0,0
HHS Regions,Region 5,2016,7,647,251,14,2,0,2,7,0,0
HHS Regions,Region 6,2016,7,248,44,31,9,12,9,6,0,0
HHS Regions,Region 7,2016,7,85,29,6,1,0,4,14,0,0
HHS Regions,Region 8,2016,7,346,194,12,0,4,8,48,0,0
HHS Regions,Region 9,2016,7,1146,297,147,3,103,49,176,0,0
HHS Regions,Region 10,2016,7,294,63,2,0,21,5,37,0,0
HHS Regions,Region 1,2016,8,219,113,3,0,12,6,2,0,0
HHS Regions,Region 2,2016,8,290,151,7,2,4,9,4,0,0
HHS Regions,Region 3,2016,8,615,303,12,4,17,28,29,0,0
HHS Regions,Region 4,2016,8,347,125,18,2,25,9,4,0,0
HHS Regions,Region 5,2016,8,732,303,15,12,0,11,22,0,0
HHS Regions,Region 6,2016,8,309,71,36,1,27,10,8,0,0
HHS Regions,Region 7,2016,8,126,47,3,0,2,5,19,0,0
HHS Regions,Region 8,2016,8,390,220,21,1,4,7,54,0,0
HHS Regions,Region 9,2016,8,1162,248,115,4,99,59,189,0,0
HHS Regions,Region 10,2016,8,361,91,2,2,25,12,52,0,0
HHS Regions,Region 1,2016,9,257,135,4,0,20,9,6,0,0
HHS Regions,Region 2,2016,9,270,131,6,4,6,11,7,0,0
HHS Regions,Region 3,2016,9,666,374,12,7,7,18,28,0,0
HHS Regions,Region 4,2016,9,352,143,20,2,21,10,8,0,0
HHS Regions,Region 5,2016,9,812,386,15,10,4,20,28,0,0
HHS Regions,Region 6,2016,9,345,93,31,4,26,8,11,0,0
HHS Regions,Region 7,2016,9,106,52,3,2,1,2,14,0,0
HHS Regions,Region 8,2016,9,458,241,56,2,2,16,51,0,0
HHS Regions,Region 9,2016,9,1067,241,156,1,90,46,148,0,0
HHS Regions,Region 10,2016,9,354,90,10,0,34,3,46,0,0
HHS Regions,Region 1,2016,10,398,244,16,3,24,10,4,0,0
HHS Regions,Region 2,2016,10,313,182,9,2,6,11,8,0,0
HHS Regions,Region 3,2016,10,777,453,24,10,15,40,51,0,0
HHS Regions,Region 4,2016,10,429,179,28,5,37,8,8,0,0
HHS Regions,Region 5,2016,10,907,414,29,14,8,27,33,0,0
HHS Regions,Region 6,2016,10,350,73,34,2,45,8,9,0,0
HHS Regions,Region 7,2016,10,144,72,2,5,2,3,13,0,0
HHS Regions,Region 8,2016,10,439,196,68,0,8,16,56,0,0
HHS Regions,Region 9,2016,10,932,226,90,5,52,33,110,0,0
HHS Regions,Region 10,2016,10,406,134,13,1,49,6,41,0,0
HHS Regions,Region 1,2016,11,306,198,10,1,10,8,3,0,0
HHS Regions,Region 2,2016,11,307,143,8,3,2,28,13,0,0
HHS Regions,Region 3,2016,11,636,294,10,1,17,24,39,0,0
HHS Regions,Region 4,2016,11,367,119,9,2,26,9,7,0,0
HHS Regions,Region 5,2016,11,645,262,19,6,6,25,29,0,0
HHS Regions,Region 6,2016,11,294,51,41,1,26,9,10,0,0
HHS Regions,Region 7,2016,11,71,33,1,0,1,4,7,0,0
HHS Regions,Region 8,2016,11,308,135,35,1,10,7,34,0,0
HHS Regions,Region 9,2016,11,825,175,74,7,50,34,103,0,0
HHS Regions,Region 10,2016,11,352,104,6,2,37,6,33,0,0
HHS Regions,Region 1,2016,12,288,139,5,0,31,5,6,0,0
HHS Regions,Region 2,2016,12,270,123,6,2,10,14,11,0,0
HHS Regions,Region 3,2016,12,489,196,8,4,13,30,38,0,0
HHS Regions,Region 4,2016,12,289,73,13,2,14,5,5,0,0
HHS Regions,Region 5,2016,12,470,130,14,3,0,10,23,0,0
HHS Regions,Region 6,2016,12,249,36,33,2,17,11,19,0,0
HHS Regions,Region 7,2016,12,82,39,3,2,1,2,5,0,0
HHS Regions,Region 8,2016,12,227,86,46,0,8,9,20,0,0
HHS Regions,Region 9,2016,12,667,135,62,4,37,26,62,0,0
HHS Regions,Region 10,2016,12,326,101,8,0,54,5,18,0,0
HHS Regions,Region 1,2016,13,270,102,5,1,55,10,8,0,0
HHS Regions,Region 2,2016,13,244,96,8,6,12,15,15,0,0
HHS Regions,Region 3,2016,13,379,129,2,0,16,25,29,0,0
HHS Regions,Region 4,2016,13,279,58,9,5,22,9,6,0,0
HHS Regions,Region 5,2016,13,455,125,9,10,0,14,20,0,0
HHS Regions,Region 6,2016,13,261,36,37,1,16,18,17,0,0
HHS Regions,Region 7,2016,13,68,24,3,1,2,2,2,0,0
HHS Regions,Region 8,2016,13,231,75,33,2,9,13,37,0,0
HHS Regions,Region 9,2016,13,605,97,59,7,27,17,61,0,0
HHS Regions,Region 10,2016,13,279,65,15,0,49,4,16,0,0
HHS Regions,Region 1,2016,14,174,58,1,0,30,6,7,0,0
HHS Regions,Region 2,2016,14,187,55,7,2,17,14,8,0,0
HHS Regions,Region 3,2016,14,268,65,5,5,13,16,18,0,0
HHS Regions,Region 4,2016,14,206,35,12,18,17,4,2,0,0
